"amostra";"largura";"altura";"temperatura"
"Amostra 3559";72.18;28;-5.14
"Amostra 3560";106.51;123.54;-9.54
"Amostra 3561";109.58;64.37;2.06
"Amostra 3562";149.24;52.11;-13.21
"Amostra 3563";77.3;26.82;3.13
"Amostra 3564";245.37;233.2;-4.26
"Amostra 3565";11.27;61.99;15.38
"Amostra 3566";46.8;257.3;4.17
"Amostra 3567";193.15;33.4;0.6
"Amostra 3568";81.87;103.17;-1.8
"Amostra 3569";4.08;25.93;-10.17
"Amostra 3570";112.7;39.55;4.4
"Amostra 3571";52.35;81.04;-5.7
"Amostra 3572";57.9;30.76;-9.49
"Amostra 3573";107.77;22.15;13.41
"Amostra 3574";49.59;14.1;-11.97
"Amostra 3575";89.25;155.08;1.83
"Amostra 3576";124.4;54.98;-10.56
"Amostra 3577";113.57;38.32;8.01
"Amostra 3578";96.04;20.82;-19.47
"Amostra 3579";93.1;22.05;-2.52
"Amostra 3580";24.93;147.1;-14.63
"Amostra 3581";49.84;54.38;14.41
"Amostra 3582";32.83;196.16;-3.38
"Amostra 3583";52.79;82.41;-1.78
"Amostra 3584";91.08;194.59;7.32
"Amostra 3585";38.93;210.1;24.07
"Amostra 3586";99.62;110.93;-21.14
"Amostra 3587";301.61;65.94;12.22
"Amostra 3588";69.45;178.5;12.87
"Amostra 3589";111.71;39.31;20.88
"Amostra 3590";6.97;158.61;12.19
"Amostra 3591";14.2;37.47;-16.51
"Amostra 3592";18.15;164.5;1.09
"Amostra 3593";78.31;209.05;-8.83
"Amostra 3594";48.97;59.97;1.35
"Amostra 3595";200.56;38.41;-28.68
"Amostra 3596";90.32;78.6;-12.36
"Amostra 3597";259.73;72.49;18.34
"Amostra 3598";44.37;30.16;10.2
"Amostra 3599";12.81;30.41;-4.62
"Amostra 3600";38.87;140.35;-17.94
"Amostra 3601";14.68;20.92;16.98
"Amostra 3602";44.02;80.37;-24.59
"Amostra 3603";79.9;80.59;-13.75
"Amostra 3604";50.6;41.68;-0.66
"Amostra 3605";43.61;44.98;-10.92
"Amostra 3606";36.03;119.15;-0.48
"Amostra 3607";61.19;168.88;7.17
"Amostra 3608";36.45;175.16;13.28
"Amostra 3609";25.89;31.17;14.46
"Amostra 3610";119.86;175.41;7.1
"Amostra 3611";142.76;49.09;1.32
"Amostra 3612";71.28;72.17;-1.34
"Amostra 3613";10.9;15.91;1.03
"Amostra 3614";51.42;5.54;3.33
"Amostra 3615";20.64;90.49;-5.62
"Amostra 3616";55.45;80.65;-14.78
"Amostra 3617";13.58;125.32;-7.51
"Amostra 3618";3.51;131.44;4.5
"Amostra 3619";161.15;22.85;-0.17
"Amostra 3620";73.45;14.87;-8.72
"Amostra 3621";55.98;167.84;-10.1
"Amostra 3622";68.78;28.82;3.48
"Amostra 3623";71.35;102.73;-1.8
"Amostra 3624";202.02;21.66;5.13
"Amostra 3625";21.82;5.72;21.15
"Amostra 3626";3.16;157.31;-2.36
"Amostra 3627";83.9;8.24;-8
"Amostra 3628";44.85;64.31;3.55
"Amostra 3629";78.82;40.86;-1.72
"Amostra 3630";145.93;39.45;5.67
"Amostra 3631";104.98;20.9;-18.76
"Amostra 3632";145.28;93.6;-12.79
"Amostra 3633";138.21;144.52;2.62
"Amostra 3634";197.74;66.92;1.62
"Amostra 3635";61.48;93.24;-11.27
"Amostra 3636";2.27;9.12;8.62
"Amostra 3637";50.16;118.86;9.83
"Amostra 3638";47.68;108.74;2.02
"Amostra 3639";133.02;134.45;5.32
"Amostra 3640";91.04;4.3;4.46
"Amostra 3641";42.53;39.46;6.07
"Amostra 3642";42.01;173.25;2.05
"Amostra 3643";248.1;105.04;-10.09
"Amostra 3644";65.23;35.58;0.64
"Amostra 3645";6.07;17.89;14.1
"Amostra 3646";20.26;218.94;13.44
"Amostra 3647";15.53;46.62;20.01
"Amostra 3648";115.43;39.27;-4.5
"Amostra 3649";36.5;45.59;-17.63
"Amostra 3650";18.8;37.37;-0.78
"Amostra 3651";9.43;97.17;8.03
"Amostra 3652";57.29;7.15;2.63
"Amostra 3653";55.28;16.32;5.14
"Amostra 3654";5.02;85.22;7.89
"Amostra 3655";153.16;275.38;-9.61
"Amostra 3656";26.64;45.72;-4.41
"Amostra 3657";127.83;41.47;13.98
"Amostra 3658";73.11;17.6;-5.43
"Amostra 3659";178.93;92.75;11.23
"Amostra 3660";118.64;167.08;-12.11
"Amostra 3661";150.14;50.54;7.3
"Amostra 3662";187.86;15.61;11.12
"Amostra 3663";113.76;37.27;-4.39
"Amostra 3664";57.91;109.94;0.85
"Amostra 3665";56.29;44.37;-3.88
"Amostra 3666";68.87;16.08;-18.14
"Amostra 3667";74.02;63.73;-12.77
"Amostra 3668";76.32;126.51;6.81
"Amostra 3669";64.89;28.57;-4.58
"Amostra 3670";76.96;14.77;-4.2
"Amostra 3671";163.68;69.62;-9.49
"Amostra 3672";54.78;32.26;-0.13
"Amostra 3673";123.13;77.97;-0.9
"Amostra 3674";42.56;175.55;-1.99
"Amostra 3675";3.73;48.15;-6.01
"Amostra 3676";93.08;47.7;5.58
"Amostra 3677";14.16;81.72;-2.46
"Amostra 3678";61.78;7.68;-7.83
"Amostra 3679";87.61;127.27;0.17
"Amostra 3680";84.65;112.6;-17.95
"Amostra 3681";91.49;43.15;11.33
"Amostra 3682";82.83;33.27;12.83
"Amostra 3683";112.55;26.74;-4.55
"Amostra 3684";77.98;92.65;-3.07
"Amostra 3685";21.63;217.27;18.53
"Amostra 3686";87.49;92.58;12.34
"Amostra 3687";130.83;33.53;17.69
"Amostra 3688";50.64;20.75;-5.79
"Amostra 3689";11.6;101.66;-3.53
"Amostra 3690";89.89;34.21;4.56
"Amostra 3691";56.35;29.25;-13.2
"Amostra 3692";39.28;77.87;2.03
"Amostra 3693";162.18;12.67;9.81
"Amostra 3694";14.49;154.44;0.28
"Amostra 3695";16.23;55.47;1.79
"Amostra 3696";13.28;91.88;12.63
"Amostra 3697";67.89;37.95;-1.16
"Amostra 3698";96.87;110.11;3.73
"Amostra 3699";107.93;9.94;11.33
"Amostra 3700";56.72;135.15;-1.28
"Amostra 3701";26.37;165.13;-6.23
"Amostra 3702";113.56;143.35;-15.48
"Amostra 3703";142.56;42.02;-19.29
"Amostra 3704";227.78;108.53;-5.06
"Amostra 3705";26.67;113;-18.5
"Amostra 3706";83.01;172.57;4.79
"Amostra 3707";38.82;115.47;-3.01
"Amostra 3708";69.36;1.12;-0.45
"Amostra 3709";102.88;100.18;5.4
"Amostra 3710";230.31;67.37;-25.66
"Amostra 3711";40.77;127.73;2.34
"Amostra 3712";70.2;53.52;-2.41
"Amostra 3713";112.91;79.83;-12.07
"Amostra 3714";2.84;99.8;-3.04
"Amostra 3715";152.99;85.8;5.07
"Amostra 3716";24.48;186.66;10.9
"Amostra 3717";16.58;44.42;0.12
"Amostra 3718";16.67;96.1;5.46
"Amostra 3719";128.84;173.24;-2.03
"Amostra 3720";115.85;60.96;14.62
"Amostra 3721";107.72;23.59;-8.43
"Amostra 3722";53.64;22.38;-8.15
"Amostra 3723";158.69;174.89;-5.68
"Amostra 3724";67.19;58.91;8.85
"Amostra 3725";172.32;14.79;2.17
"Amostra 3726";134.07;178.81;-3.35
"Amostra 3727";59.02;85.01;7.03
"Amostra 3728";78.97;131.27;3.67
"Amostra 3729";63.73;65.78;26.74
"Amostra 3730";34.22;254.43;5.81
"Amostra 3731";17.26;131.21;-23.58
"Amostra 3732";41.89;54.98;-0.07
"Amostra 3733";66.03;128.38;-1.7
"Amostra 3734";57.52;14.83;22.09
"Amostra 3735";169.94;139.28;7.2
"Amostra 3736";12.26;69.97;1.04
"Amostra 3737";84.76;78.93;9.75
"Amostra 3738";75.35;4.53;-21.12
"Amostra 3739";66.34;166.31;5.7
"Amostra 3740";195.14;27.12;-8.64
"Amostra 3741";135.33;72.82;-13.59
"Amostra 3742";175.09;71.59;-2.05
"Amostra 3743";39.46;29.89;-12.06
"Amostra 3744";84;148.3;11.12
"Amostra 3745";106.92;8.23;-0.61
"Amostra 3746";56.23;141.73;1.33
"Amostra 3747";58.29;6.44;-8.69
"Amostra 3748";7.51;6.39;-6.03
"Amostra 3749";67.92;62.59;-1.78
"Amostra 3750";77.59;34.42;-7.59
"Amostra 3751";16.77;133.68;-1.36
"Amostra 3752";91.58;9.25;11.16
"Amostra 3753";12.79;65.21;0.91
"Amostra 3754";47.6;190.77;-6.92
"Amostra 3755";136.13;50.54;-8.33
"Amostra 3756";58.44;19.42;2.77
"Amostra 3757";98.18;29.19;7.94
"Amostra 3758";125.2;7.53;8.42
"Amostra 3759";196.22;21.15;-2.52
"Amostra 3760";22.92;18.52;1.52
"Amostra 3761";56.42;103.28;6.49
"Amostra 3762";105.68;59.17;0.34
"Amostra 3763";20.72;21.69;2.97
"Amostra 3764";105.68;128.35;1.56
"Amostra 3765";74.04;68.3;-8.06
"Amostra 3766";30.98;42.58;-4.14
"Amostra 3767";182.73;60.33;11.96
"Amostra 3768";20.27;53.76;21.73
"Amostra 3769";86.41;102.77;-9.99
"Amostra 3770";16.73;35.72;12.47
"Amostra 3771";44.32;151.08;-3.66
"Amostra 3772";8.12;37.52;0.02
"Amostra 3773";43.65;136.82;-8.07
"Amostra 3774";14.78;36.32;7.31
"Amostra 3775";237.3;59.1;-17.87
"Amostra 3776";12.03;10.5;11.4
"Amostra 3777";14.07;101.75;4.6
"Amostra 3778";36.37;168.29;-22.5
"Amostra 3779";29.43;205.29;-8.37
"Amostra 3780";38.9;22.04;-2.48
"Amostra 3781";30.47;55.44;-0.86
"Amostra 3782";137.52;25.29;1.14
"Amostra 3783";110.4;104.14;10.97
"Amostra 3784";88.9;135.06;-3.28
"Amostra 3785";57.73;63.38;1.37
"Amostra 3786";58.45;39.87;-5.35
"Amostra 3787";11.74;121.3;11.49
"Amostra 3788";59.25;24.17;-0.13
"Amostra 3789";34.23;37.32;2.37
"Amostra 3790";196.82;25.29;-0.94
"Amostra 3791";92.75;91.82;2.74
"Amostra 3792";84.73;14.62;0.6
"Amostra 3793";47.44;86.5;10.61
"Amostra 3794";80.09;14.16;1.16
"Amostra 3795";38.03;202.88;-4.2
"Amostra 3796";40.02;9.01;-2.11
"Amostra 3797";2.12;41.56;28.15
"Amostra 3798";186.13;48.97;-7.91
"Amostra 3799";46.38;2.04;13.15
"Amostra 3800";96.09;24.17;13.87
"Amostra 3801";16.55;71.04;0.68
"Amostra 3802";11.58;38.27;-12.78
"Amostra 3803";146.62;185.06;-3.16
"Amostra 3804";42.03;3.96;0.68
"Amostra 3805";30.27;143.11;0.25
"Amostra 3806";29.3;75.4;-11.44
"Amostra 3807";61.67;34.73;-8.76
"Amostra 3808";60.02;2.09;9.99
"Amostra 3809";131.23;37.62;3.74
"Amostra 3810";167.56;155.45;-0.77
"Amostra 3811";28.14;22.79;0.93
"Amostra 3812";15.01;263.35;-6.32
"Amostra 3813";96.91;70.64;4.6
"Amostra 3814";158.08;91.39;-11.1
"Amostra 3815";134.33;62.2;-4.68
"Amostra 3816";80.54;83.78;5.26
"Amostra 3817";17.36;85.91;-1.54
"Amostra 3818";6.76;190.96;10.18
"Amostra 3819";93.62;53.59;0.47
"Amostra 3820";37.61;150.42;-1.2
"Amostra 3821";38.98;70.48;-5.82
"Amostra 3822";111.51;140.33;-12.99
"Amostra 3823";29.03;195.61;22.62
"Amostra 3824";109.97;44.34;15.76
"Amostra 3825";11.97;143.71;4.06
"Amostra 3826";32.94;16.18;-0.63
"Amostra 3827";178.61;71.7;5.11
"Amostra 3828";84.91;71.78;-16.49
"Amostra 3829";0.23;27.3;-1.38
"Amostra 3830";81.22;103.34;-4.8
"Amostra 3831";122.25;111.1;2.01
"Amostra 3832";67.19;99.8;9.97
"Amostra 3833";175.74;0.06;3.13
"Amostra 3834";50.88;136.52;1.49
"Amostra 3835";107.55;68.74;-9.33
"Amostra 3836";58.62;43.97;-1.84
"Amostra 3837";7.28;20.88;12.68
"Amostra 3838";0.71;63.91;9.79
"Amostra 3839";128.51;72.95;5.88
"Amostra 3840";44.63;0.19;-10.37
"Amostra 3841";187.9;94.21;3.9
"Amostra 3842";45.98;25.43;4.56
"Amostra 3843";4.88;110.41;18.27
"Amostra 3844";72.36;38.66;-9.77
"Amostra 3845";40.78;77.26;-6.79
"Amostra 3846";10.22;22.69;3.38
"Amostra 3847";3.21;32.16;1.36
"Amostra 3848";21.08;5.11;5.15
"Amostra 3849";13.46;18.24;2.04
"Amostra 3850";6.1;91.29;15.77
"Amostra 3851";9.38;67.16;2.27
"Amostra 3852";71.15;259.03;7.92
"Amostra 3853";134.65;3.39;4.77
"Amostra 3854";28.11;94.96;-10.66
"Amostra 3855";194.63;121.83;5.44
"Amostra 3856";5.14;4.09;1.09
"Amostra 3857";130.67;180.07;3.63
"Amostra 3858";124.83;56.53;-7.46
"Amostra 3859";30.61;10.49;-0.73
"Amostra 3860";57.19;15.06;14.21
"Amostra 3861";155.43;22.2;-21.91
"Amostra 3862";68.62;107.91;1.92
"Amostra 3863";200.5;4.98;-9.96
"Amostra 3864";6.12;61.3;-19.66
"Amostra 3865";10.24;33.15;-6.69
"Amostra 3866";138.12;219.59;12.32
"Amostra 3867";4.14;183.47;-4.39
"Amostra 3868";99.47;33.94;-5.26
"Amostra 3869";72.26;43.17;10.05
"Amostra 3870";44.68;103.28;-17.97
"Amostra 3871";41.71;100.75;-19.36
"Amostra 3872";26.39;131.88;-3.34
"Amostra 3873";14.32;138.67;6.53
"Amostra 3874";7.25;159.37;1.31
"Amostra 3875";93.08;10.43;11.85
"Amostra 3876";64.07;91.07;7.35
"Amostra 3877";20.23;145.42;7.33
"Amostra 3878";87.1;151.54;1.27
"Amostra 3879";162.04;10.25;6.45
"Amostra 3880";2.41;68.15;3.72
"Amostra 3881";90.15;21.89;1.96
"Amostra 3882";92.47;11.78;15.51
"Amostra 3883";10.5;44.64;4.36
"Amostra 3884";88.06;59.25;5.52
"Amostra 3885";45.54;46.82;9.95
"Amostra 3886";18.8;249.6;10.02
"Amostra 3887";44.4;96.41;-9.8
"Amostra 3888";149.46;31.83;-10.78
"Amostra 3889";282.97;117.65;-0.35
"Amostra 3890";18.49;27.49;-1.05
"Amostra 3891";91.96;122.62;-12.58
"Amostra 3892";47.82;31.92;-1.73
"Amostra 3893";7.92;49.02;2.9
"Amostra 3894";12.75;36.87;-7.25
"Amostra 3895";228.3;143.86;13.53
"Amostra 3896";7.59;11.46;-0.46
"Amostra 3897";161.76;66.7;13.93
"Amostra 3898";43.73;27.53;10.49
"Amostra 3899";119.59;116.31;-21.14
"Amostra 3900";26.21;82.79;19.67
"Amostra 3901";140.71;161.71;-1.76
"Amostra 3902";72.75;109.67;3.25
"Amostra 3903";18.61;232.9;16.32
"Amostra 3904";57.27;9.73;7.35
"Amostra 3905";1.12;56.61;-6.06
"Amostra 3906";147.84;39.33;10.87
"Amostra 3907";29.18;108.13;-5.09
"Amostra 3908";7.14;105.22;2.02
"Amostra 3909";29.98;26.59;-11.23
"Amostra 3910";131.83;64.31;-0.32
"Amostra 3911";64.23;106.27;2.12
"Amostra 3912";119.63;122.19;3.67
"Amostra 3913";161.06;116.14;-0.91
"Amostra 3914";96.46;20.93;-2.5
"Amostra 3915";36.03;193.07;5.71
"Amostra 3916";11.79;54.9;7.73
"Amostra 3917";221.47;14.76;-3.61
"Amostra 3918";58.24;74.23;0.67
"Amostra 3919";73.98;150.7;-21.34
"Amostra 3920";167.12;107.17;-3.52
"Amostra 3921";129.08;21.68;4.2
"Amostra 3922";54.99;0.74;3.1
"Amostra 3923";126.15;178.43;3.27
"Amostra 3924";20.73;73.8;-4.59
"Amostra 3925";84.38;10.15;-5.97
"Amostra 3926";88.26;41.76;-0.9
"Amostra 3927";8.75;46.51;1.99
"Amostra 3928";17.63;31.32;-1.32
"Amostra 3929";8.77;25.63;12.75
"Amostra 3930";284.42;164.77;-19.15
"Amostra 3931";38.81;39.25;8.84
"Amostra 3932";90.72;128.79;14.85
"Amostra 3933";23.15;10.69;-2.98
"Amostra 3934";136.78;118.93;-1.99
"Amostra 3935";56.09;119.78;-4
"Amostra 3936";28.02;24.76;-10.1
"Amostra 3937";26.5;19.11;0.05
"Amostra 3938";205.43;3.69;-6.44
"Amostra 3939";27.97;142.49;-0.66
"Amostra 3940";1.63;72.79;-1.05
"Amostra 3941";97.82;247.96;-5.54
"Amostra 3942";137.48;166.78;0.98
"Amostra 3943";81.58;103.05;14.7
"Amostra 3944";24.15;134.02;-10.56
"Amostra 3945";15.41;15.4;11.17
"Amostra 3946";180.49;13.43;-0.09
"Amostra 3947";25.44;139.85;-1.11
"Amostra 3948";52.57;41.65;-7.97
"Amostra 3949";38.73;80.39;-1.82
"Amostra 3950";182.96;23.98;-2.88
"Amostra 3951";22.12;29.86;2.13
"Amostra 3952";128.5;147.8;-5.77
"Amostra 3953";14.82;31.12;15.01
"Amostra 3954";54.69;4.15;11.08
"Amostra 3955";232.19;11.49;1.6
"Amostra 3956";16.61;18.75;-5.07
"Amostra 3957";229.8;27.17;1.72
"Amostra 3958";150.3;194.26;3.35
"Amostra 3959";17.95;13.86;-3.87
"Amostra 3960";105.13;40.28;-4.3
"Amostra 3961";23.89;117.01;-6.29
"Amostra 3962";30.76;6.69;-6.32
"Amostra 3963";31.41;31.7;10.68
"Amostra 3964";50.4;127.24;9.41
"Amostra 3965";118.07;62.09;2.59
"Amostra 3966";96.04;112.56;-1.55
"Amostra 3967";265.99;6.01;9.77
"Amostra 3968";61.62;52.03;-7.45
"Amostra 3969";37.22;71.47;-3.49
"Amostra 3970";79.7;134.9;-11.74
"Amostra 3971";130;7.68;2.56
"Amostra 3972";84.66;2.86;1.51
"Amostra 3973";100.25;48.47;-16.74
"Amostra 3974";25.37;150.44;23.29
"Amostra 3975";51.05;101.47;-3.04
"Amostra 3976";98.17;9.29;1.55
"Amostra 3977";20.24;76.85;0.35
"Amostra 3978";25.2;51.74;-14.79
"Amostra 3979";182.23;6.93;11.29
"Amostra 3980";62.65;16;5.04
"Amostra 3981";33.75;30.75;5.94
"Amostra 3982";127.08;198.53;16.42
"Amostra 3983";68.1;40.07;0.07
"Amostra 3984";154.42;75.15;8.89
"Amostra 3985";175.77;138.37;5.32
"Amostra 3986";1.89;10.53;14.91
"Amostra 3987";246.69;78.35;-17.25
"Amostra 3988";8.9;57.08;-9.67
"Amostra 3989";134.05;37.34;-6.99
"Amostra 3990";37.13;259.27;-17.42
"Amostra 3991";157.39;105.41;-2.59
"Amostra 3992";26.25;200.81;-9.58
"Amostra 3993";34.18;36.46;2.41
"Amostra 3994";112.39;145.41;-6.03
"Amostra 3995";78.31;7.51;8.26
"Amostra 3996";87.56;94.88;7.55
"Amostra 3997";0.74;99.15;2.14
"Amostra 3998";106.56;92.63;20.52
"Amostra 3999";7;129.74;-8.82
"Amostra 4000";187.29;17.17;-15.77
"Amostra 4001";62.68;86.1;5.71
"Amostra 4002";108.71;165.17;-0.94
"Amostra 4003";3.55;107.62;7.39
"Amostra 4004";10.48;46.62;-13.01
"Amostra 4005";4.27;13.9;7.3
"Amostra 4006";13.54;10.92;-0.41
"Amostra 4007";154.27;10.44;17.8
"Amostra 4008";107.83;17.4;13.71
"Amostra 4009";89.01;13.39;3.91
"Amostra 4010";36.22;8.42;-1.06
"Amostra 4011";181.18;110.63;12.94
"Amostra 4012";100.32;256.27;-5.92
"Amostra 4013";40.32;51.24;-31.74
"Amostra 4014";98.85;41.72;11.74
"Amostra 4015";107.93;100.07;2.67
"Amostra 4016";23.05;23.24;1.38
"Amostra 4017";15.61;150.31;6.7
"Amostra 4018";125.26;224.57;-7.26
"Amostra 4019";33.4;80;-3.85
"Amostra 4020";117.05;43.61;6.16
"Amostra 4021";52.22;29.5;12.02
"Amostra 4022";76.91;222.6;5.29
"Amostra 4023";161.62;67.22;-3.75
"Amostra 4024";17.56;12.28;7.15
"Amostra 4025";25.65;182.66;-8.61
"Amostra 4026";252.3;19.13;2.87
"Amostra 4027";40.34;150.54;1.41
"Amostra 4028";104.36;195.96;-17.28
"Amostra 4029";52.47;0.91;-0.98
"Amostra 4030";287.19;61.96;10.26
"Amostra 4031";57.98;84.44;-9.81
"Amostra 4032";89.59;143.63;0.95
"Amostra 4033";186.61;141.46;0.25
"Amostra 4034";109.96;36.41;7.41
"Amostra 4035";288.02;117.67;-7.12
"Amostra 4036";113.41;150.61;-12.38
"Amostra 4037";117.26;33.06;1.69
"Amostra 4038";7.09;9.5;17.3
"Amostra 4039";95.13;90.9;13.21
"Amostra 4040";162.48;142.54;-16.32
"Amostra 4041";47.87;6.83;8.87
"Amostra 4042";81.94;32.47;7.83
"Amostra 4043";128.47;51.34;4.23
"Amostra 4044";201.1;71.32;-17.05
"Amostra 4045";41.07;132;4.44
"Amostra 4046";35.8;55.11;-9.7
"Amostra 4047";143.75;143.32;-1.95
"Amostra 4048";6.08;0.58;-8.36
"Amostra 4049";139.01;12.79;13.21
"Amostra 4050";195.55;117.76;12.25
"Amostra 4051";143.96;112.86;-3.99
"Amostra 4052";290.68;121.69;-2.66
"Amostra 4053";84.46;102.36;11.56
"Amostra 4054";87.69;42.65;1.2
"Amostra 4055";33;157.79;-1.87
"Amostra 4056";22.23;63.8;-11.72
"Amostra 4057";92.66;5.52;-5.25
"Amostra 4058";131.22;28.78;-3.65
"Amostra 4059";129.32;45.55;-0.57
"Amostra 4060";44.57;66.4;-10.26
"Amostra 4061";41.45;43.4;-8.41
"Amostra 4062";221.74;7.95;0.09
"Amostra 4063";68.29;33.87;-6.65
"Amostra 4064";58.47;26.25;-6.16
"Amostra 4065";62.67;2.46;-18.49
"Amostra 4066";0.31;13.87;7.75
"Amostra 4067";66.31;147.49;14.81
"Amostra 4068";135.19;55.34;13.7
"Amostra 4069";151.38;89.8;-4.31
"Amostra 4070";7.67;68.38;14.17
"Amostra 4071";118.03;128.08;-0.55
"Amostra 4072";82.93;49.57;-1.05
"Amostra 4073";59.09;76.91;1.82
"Amostra 4074";24.3;33.83;-4.81
"Amostra 4075";64.12;8.14;0.84
"Amostra 4076";73.59;124.48;-16.15
"Amostra 4077";83.65;119.49;-7.91
"Amostra 4078";55.5;40.48;-2.23
"Amostra 4079";53.69;270.96;-1.21
"Amostra 4080";44.29;49.67;17.73
"Amostra 4081";92.35;43.85;25.53
"Amostra 4082";13.99;114.95;-7.51
"Amostra 4083";147.69;169.31;-18.38
"Amostra 4084";56.96;112.56;-8.4
"Amostra 4085";143.26;15.06;9.34
"Amostra 4086";206;45.49;12.85
"Amostra 4087";41.85;127.75;-9.02
"Amostra 4088";47.41;16.08;-1.57
"Amostra 4089";8.06;88.77;3.76
"Amostra 4090";40.1;141.38;-11.08
"Amostra 4091";77.15;159.37;0.22
"Amostra 4092";93.97;34.95;-3.91
"Amostra 4093";27.64;89.96;-8.09
"Amostra 4094";4.09;113.77;1.89
"Amostra 4095";50.53;67;-10.66
"Amostra 4096";44.14;4.69;-0.78
"Amostra 4097";103.88;162.11;15.51
"Amostra 4098";11.45;34.72;-12.63
"Amostra 4099";126.45;41.97;5.4
"Amostra 4100";2.17;14.98;2
"Amostra 4101";41.49;17.67;0.66
"Amostra 4102";56.49;145.69;0.14
"Amostra 4103";54.83;115.56;1.1
"Amostra 4104";150.7;79.11;10.15
"Amostra 4105";12.02;94.05;11.13
"Amostra 4106";284;275.35;5.89
"Amostra 4107";159.07;86;-7.99
"Amostra 4108";159.79;6.24;4.45
"Amostra 4109";111.97;55.53;-6.82
"Amostra 4110";51.34;6.55;-9.43
"Amostra 4111";56.41;24.17;7.74
"Amostra 4112";118.98;40.2;-15.08
"Amostra 4113";99.69;18.19;2.99
"Amostra 4114";225.94;68.75;8.89
"Amostra 4115";94.12;175.21;7.16
"Amostra 4116";65.56;135.44;0.17
"Amostra 4117";71.84;133.97;-2.48
"Amostra 4118";95.14;156.95;8.24
"Amostra 4119";31.46;108.53;13.54
"Amostra 4120";85.39;36.55;4.21
"Amostra 4121";60.71;190.44;-1.25
"Amostra 4122";162.34;103.11;-12.43
"Amostra 4123";6.66;87.1;-15.12
"Amostra 4124";35.7;81.34;-1.14
"Amostra 4125";65.35;113.6;3.58
"Amostra 4126";111.56;43.04;2.33
"Amostra 4127";24.74;148.65;-22.68
"Amostra 4128";181.02;131.43;19.37
"Amostra 4129";85.01;47.38;8.84
"Amostra 4130";63.73;14.12;9.79
"Amostra 4131";96.13;89.66;7.28
"Amostra 4132";87.42;16.67;10.94
"Amostra 4133";175.58;34.99;-15.08
"Amostra 4134";204.11;136.09;6.34
"Amostra 4135";41.72;18.23;15.79
"Amostra 4136";5.36;92.95;2.96
"Amostra 4137";135.61;3.28;-8.69
"Amostra 4138";212.8;110.09;-3.88
"Amostra 4139";9.53;93.58;4.42
"Amostra 4140";42.02;218.84;14.6
"Amostra 4141";74.34;32.54;-0.72
"Amostra 4142";132.66;40.12;-1.86
"Amostra 4143";203.53;14.95;7.77
"Amostra 4144";37.51;113.8;0
"Amostra 4145";211.63;217.5;7.36
"Amostra 4146";255.58;84.74;8.29
"Amostra 4147";148.74;23.36;6.59
"Amostra 4148";89.13;31.64;12.07
"Amostra 4149";105.89;78.02;10.85
"Amostra 4150";129.33;148.31;-16.08
"Amostra 4151";50.53;84.89;-7.6
"Amostra 4152";44.09;86.54;11.21
"Amostra 4153";155.13;243.02;-3.4
"Amostra 4154";164.49;46.17;8.12
"Amostra 4155";59.48;94.75;20.45
"Amostra 4156";10.84;8.49;-7.23
"Amostra 4157";110.89;12.25;-14.23
"Amostra 4158";135.15;73.92;-5.97
"Amostra 4159";117.62;15.39;-3.63
"Amostra 4160";291.63;21.12;-7
"Amostra 4161";34.35;52.93;-0.02
"Amostra 4162";87.28;28.34;3.27
"Amostra 4163";69.03;38.55;-12.53
"Amostra 4164";50.57;16.21;8.83
"Amostra 4165";160.52;79.67;-5.68
"Amostra 4166";200.14;100.04;8.43
"Amostra 4167";99.91;40.86;-7.17
"Amostra 4168";125.96;7.13;0.75
"Amostra 4169";13.9;46.81;-8.16
"Amostra 4170";85.13;12.33;8.9
"Amostra 4171";24.74;34;-1.41
"Amostra 4172";55.62;170.67;-11.2
"Amostra 4173";95.77;23.32;-14.93
"Amostra 4174";2.99;11.09;6.45
"Amostra 4175";124.77;42.69;4.07
"Amostra 4176";77.37;52.07;-0.4
"Amostra 4177";128.5;39.02;-3.53
"Amostra 4178";38.59;81.9;3.42
"Amostra 4179";26.98;98.55;0.95
"Amostra 4180";83.11;57.6;-8
"Amostra 4181";76.81;109.73;3.67
"Amostra 4182";128.33;131.91;-4.02
"Amostra 4183";85.17;96.15;6.98
"Amostra 4184";97.35;26.16;4.85
"Amostra 4185";117.85;164.59;-13.86
"Amostra 4186";6.4;39.08;-6.55
"Amostra 4187";101.95;2.17;0.18
"Amostra 4188";27.62;98.76;24.69
"Amostra 4189";260.87;149.75;-6.89
"Amostra 4190";148.06;50.1;10.14
"Amostra 4191";191.94;59.32;9.85
"Amostra 4192";130.19;8.49;9.75
"Amostra 4193";34.81;143.19;7.47
"Amostra 4194";128.05;112.11;-8.44
"Amostra 4195";127.98;89.77;12.72
"Amostra 4196";78.27;43.92;0.29
"Amostra 4197";7.9;138.32;-1.27
"Amostra 4198";65.55;53.34;11.51
"Amostra 4199";19.89;48.38;3.94
"Amostra 4200";29.97;17.6;-8.44
"Amostra 4201";37.32;74.38;-1.22
"Amostra 4202";312.25;101.92;0.3
"Amostra 4203";169;74.83;2.41
"Amostra 4204";79.02;5.4;-6.19
"Amostra 4205";60.46;47.34;-0.8
"Amostra 4206";23.09;113.66;-8.12
"Amostra 4207";239.41;23.94;-4.76
"Amostra 4208";18.07;47.38;7.38
"Amostra 4209";151.69;102.32;-7.04
"Amostra 4210";75.29;136.93;9.73
